y,Z,A,N,parity ,Z^2,Z^3,Z^4,Z^(1/2),Z^(3/2),Z^(5/2),Z^(-1),Z^(-2),Z^(-3),Z^(-4),Z^(-1/2),Z^(-3/2),Z^(-5/2),A^2,A^3,A^4,A^(1/2),A^(3/2),A^(5/2),A^(-1),A^(-2),A^(-3),A^(-4),A^(-1/2),A^(-3/2),A^(-5/2),N^2,N^3,N^4,N^(1/2),N^(3/2),N^(5/2),N^(-1),N^(-2),N^(-3),N^(-4),N^(-1/2),N^(-3/2),N^(-5/2)
2.8272654,1,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9,27,81,1.732050808,5.196152423,15.58845727,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.19245009,0.06415003,4,8,16,1.414213562,2.828427125,5.656854249,0.5,0.25,0.125,0.0625,0.707106781,0.353553391,0.176776695
7.0739156,2,4,2,1,4,8,16,1.414213562,2.828427125,5.656854249,0.5,0.25,0.125,0.0625,0.707106781,0.353553391,0.176776695,16,64,256,2,8,32,0.25,0.0625,0.015625,0.00390625,0.5,0.125,0.03125,4,8,16,1.414213562,2.828427125,5.656854249,0.5,0.25,0.125,0.0625,0.707106781,0.353553391,0.176776695
5.3323312,3,6,3,1,9,27,81,1.732050808,5.196152423,15.58845727,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.19245009,0.06415003,36,216,1296,2.449489743,14.69693846,88.18163074,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.068041382,0.01134023,9,27,81,1.732050808,5.196152423,15.58845727,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.19245009,0.06415003
5.6064401,3,7,4,-1,9,27,81,1.732050808,5.196152423,15.58845727,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.19245009,0.06415003,49,343,2401,2.645751311,18.52025918,129.6418142,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.053994925,0.007713561,16,64,256,2,8,32,0.25,0.0625,0.015625,0.00390625,0.5,0.125,0.03125
6.4626693,4,9,5,0,16,64,256,2,8,32,0.25,0.0625,0.015625,0.00390625,0.5,0.125,0.03125,81,729,6561,3,27,243,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.037037037,0.004115226,25,125,625,2.236067977,11.18033989,55.90169944,0.2,0.04,0.008,0.0016,0.447213595,0.089442719,0.017888544
6.4750835,5,10,5,0,25,125,625,2.236067977,11.18033989,55.90169944,0.2,0.04,0.008,0.0016,0.447213595,0.089442719,0.017888544,100,1000,10000,3.16227766,31.6227766,316.227766,0.1,0.01,0.001,0.0001,0.316227766,0.031622777,0.003162278,25,125,625,2.236067977,11.18033989,55.90169944,0.2,0.04,0.008,0.0016,0.447213595,0.089442719,0.017888544
6.9277323,5,11,6,-1,25,125,625,2.236067977,11.18033989,55.90169944,0.2,0.04,0.008,0.0016,0.447213595,0.089442719,0.017888544,121,1331,14641,3.31662479,36.48287269,401.3115996,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.027410122,0.002491829,36,216,1296,2.449489743,14.69693846,88.18163074,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.068041382,0.01134023
7.6801446,6,12,6,0,36,216,1296,2.449489743,14.69693846,88.18163074,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.068041382,0.01134023,144,1728,20736,3.464101615,41.56921938,498.8306326,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.024056261,0.002004688,36,216,1296,2.449489743,14.69693846,88.18163074,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.068041382,0.01134023
7.4698495,6,13,7,1,36,216,1296,2.449489743,14.69693846,88.18163074,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.068041382,0.01134023,169,2197,28561,3.605551275,46.87216658,609.3381656,0.076923077,0.00591716,0.000455166,3.50128E-05,0.277350098,0.021334623,0.001641125,49,343,2401,2.645751311,18.52025918,129.6418142,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.053994925,0.007713561
7.4756148,7,14,7,0,49,343,2401,2.645751311,18.52025918,129.6418142,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.053994925,0.007713561,196,2744,38416,3.741657387,52.38320341,733.3648478,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.019090089,0.001363578,49,343,2401,2.645751311,18.52025918,129.6418142,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.053994925,0.007713561
7.6994603,7,15,8,-1,49,343,2401,2.645751311,18.52025918,129.6418142,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.053994925,0.007713561,225,3375,50625,3.872983346,58.09475019,871.4212529,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.017213259,0.001147551,64,512,4096,2.828427125,22.627417,181.019336,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.044194174,0.005524272
7.9762072,8,16,8,0,64,512,4096,2.828427125,22.627417,181.019336,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.044194174,0.005524272,256,4096,65536,4,64,1024,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.015625,0.000976563,64,512,4096,2.828427125,22.627417,181.019336,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.044194174,0.005524272
7.7507291,8,17,9,1,64,512,4096,2.828427125,22.627417,181.019336,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.044194174,0.005524272,289,4913,83521,4.123105626,70.09279564,1191.577526,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.014266801,0.000839224,81,729,6561,3,27,243,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.037037037,0.004115226
7.7790192,9,19,10,0,81,729,6561,3,27,243,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.037037037,0.004115226,361,6859,130321,4.358898944,82.81907993,1573.562519,0.052631579,0.002770083,0.000145794,7.67336E-06,0.229415734,0.012074512,0.000635501,100,1000,10000,3.16227766,31.6227766,316.227766,0.1,0.01,0.001,0.0001,0.316227766,0.031622777,0.003162278
7.9717136,10,21,11,0,100,1000,10000,3.16227766,31.6227766,316.227766,0.1,0.01,0.001,0.0001,0.316227766,0.031622777,0.003162278,441,9261,194481,4.582575695,96.23408959,2020.915881,0.047619048,0.002267574,0.00010798,5.14189E-06,0.21821789,0.010391328,0.000494825,121,1331,14641,3.31662479,36.48287269,401.3115996,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.027410122,0.002491829
8.1114936,11,23,12,0,121,1331,14641,3.31662479,36.48287269,401.3115996,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.027410122,0.002491829,529,12167,279841,4.795831523,110.304125,2536.994876,0.043478261,0.001890359,8.21895E-05,3.57346E-06,0.208514414,0.009065844,0.000394167,144,1728,20736,3.464101615,41.56921938,498.8306326,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.024056261,0.002004688
8.2235028,12,25,13,0,144,1728,20736,3.464101615,41.56921938,498.8306326,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.024056261,0.002004688,625,15625,390625,5,125,3125,0.04,0.0016,0.000064,0.00000256,0.2,0.008,0.00032,169,2197,28561,3.605551275,46.87216658,609.3381656,0.076923077,0.00591716,0.000455166,3.50128E-05,0.277350098,0.021334623,0.001641125
8.3338711,12,26,14,0,144,1728,20736,3.464101615,41.56921938,498.8306326,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.024056261,0.002004688,676,17576,456976,5.099019514,132.5745074,3446.937191,0.038461538,0.00147929,5.68958E-05,2.1883E-06,0.196116135,0.007542928,0.000290113,196,2744,38416,3.741657387,52.38320341,733.3648478,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.019090089,0.001363578
8.3315533,13,27,14,1,169,2197,28561,3.605551275,46.87216658,609.3381656,0.076923077,0.00591716,0.000455166,3.50128E-05,0.277350098,0.021334623,0.001641125,729,19683,531441,5.196152423,140.2961154,3787.995116,0.037037037,0.001371742,5.08053E-05,1.88168E-06,0.19245009,0.007127781,0.000263992,196,2744,38416,3.741657387,52.38320341,733.3648478,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.019090089,0.001363578
8.4486361,14,29,15,0,196,2744,38416,3.741657387,52.38320341,733.3648478,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.019090089,0.001363578,841,24389,707281,5.385164807,156.1697794,4528.923603,0.034482759,0.001189061,4.10021E-05,1.41387E-06,0.185695338,0.006403288,0.000220803,225,3375,50625,3.872983346,58.09475019,871.4212529,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.017213259,0.001147551
8.5206549,14,30,16,0,196,2744,38416,3.741657387,52.38320341,733.3648478,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.019090089,0.001363578,900,27000,810000,5.477225575,164.3167673,4929.503018,0.033333333,0.001111111,3.7037E-05,1.23457E-06,0.182574186,0.006085806,0.00020286,256,4096,65536,4,64,1024,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.015625,0.000976563
8.4811677,15,31,16,1,225,3375,50625,3.872983346,58.09475019,871.4212529,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.017213259,0.001147551,961,29791,923521,5.567764363,172.6006952,5350.621553,0.032258065,0.001040583,3.35672E-05,1.08281E-06,0.179605302,0.005793719,0.000186894,256,4096,65536,4,64,1024,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.015625,0.000976563
8.5834986,16,34,18,0,256,4096,65536,4,64,1024,0.0625,0.00390625,0.000244141,1.52588E-05,0.25,0.015625,0.000976563,1156,39304,1336336,5.830951895,198.2523644,6740.58039,0.029411765,0.000865052,2.54427E-05,7.48315E-07,0.171498585,0.005044076,0.000148355,324,5832,104976,4.242640687,76.36753237,1374.615583,0.055555556,0.00308642,0.000171468,9.52599E-06,0.23570226,0.01309457,0.000727476
8.5702816,17,37,20,1,289,4913,83521,4.123105626,70.09279564,1191.577526,0.058823529,0.003460208,0.000203542,1.1973E-05,0.242535625,0.014266801,0.000839224,1369,50653,1874161,6.08276253,225.0622136,8327.301904,0.027027027,0.00073046,1.97422E-05,5.33572E-07,0.164398987,0.004443216,0.000120087,400,8000,160000,4.472135955,89.4427191,1788.854382,0.05,0.0025,0.000125,0.00000625,0.223606798,0.01118034,0.000559017
8.6142807,18,38,20,0,324,5832,104976,4.242640687,76.36753237,1374.615583,0.055555556,0.00308642,0.000171468,9.52599E-06,0.23570226,0.01309457,0.000727476,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,400,8000,160000,4.472135955,89.4427191,1788.854382,0.05,0.0025,0.000125,0.00000625,0.223606798,0.01118034,0.000559017
8.5760731,19,41,22,1,361,6859,130321,4.358898944,82.81907993,1573.562519,0.052631579,0.002770083,0.000145794,7.67336E-06,0.229415734,0.012074512,0.000635501,1681,68921,2825761,6.403124237,262.5280937,10763.65184,0.024390244,0.000594884,1.45094E-05,3.53887E-07,0.156173762,0.003809116,9.29053E-05,484,10648,234256,4.69041576,103.1891467,2270.161228,0.045454545,0.002066116,9.39144E-05,4.26883E-06,0.213200716,0.009690942,0.000440497
8.6006653,20,43,23,0,400,8000,160000,4.472135955,89.4427191,1788.854382,0.05,0.0025,0.000125,0.00000625,0.223606798,0.01118034,0.000559017,1849,79507,3418801,6.557438524,281.9698565,12124.70383,0.023255814,0.000540833,1.25775E-05,2.925E-07,0.15249857,0.003546478,8.24762E-05,529,12167,279841,4.795831523,110.304125,2536.994876,0.043478261,0.001890359,8.21895E-05,3.57346E-06,0.208514414,0.009065844,0.000394167
8.618941,21,45,24,0,441,9261,194481,4.582575695,96.23408959,2020.915881,0.047619048,0.002267574,0.00010798,5.14189E-06,0.21821789,0.010391328,0.000494825,2025,91125,4100625,6.708203932,301.869177,13584.11296,0.022222222,0.000493827,1.09739E-05,2.43865E-07,0.149071198,0.003312693,7.36154E-05,576,13824,331776,4.898979486,117.5755077,2821.812184,0.041666667,0.001736111,7.2338E-05,3.01408E-06,0.204124145,0.008505173,0.000354382
8.6612325,22,47,25,0,484,10648,234256,4.69041576,103.1891467,2270.161228,0.045454545,0.002066116,9.39144E-05,4.26883E-06,0.213200716,0.009690942,0.000440497,2209,103823,4879681,6.8556546,322.2157662,15144.14101,0.021276596,0.000452694,9.63178E-06,2.04931E-07,0.145864991,0.00310351,6.60321E-05,625,15625,390625,5,125,3125,0.04,0.0016,0.000064,0.00000256,0.2,0.008,0.00032
8.7230122,22,48,26,0,484,10648,234256,4.69041576,103.1891467,2270.161228,0.045454545,0.002066116,9.39144E-05,4.26883E-06,0.213200716,0.009690942,0.000440497,2304,110592,5308416,6.92820323,332.5537551,15962.58024,0.020833333,0.000434028,9.04225E-06,1.8838E-07,0.144337567,0.003007033,6.26465E-05,676,17576,456976,5.099019514,132.5745074,3446.937191,0.038461538,0.00147929,5.68958E-05,2.1883E-06,0.196116135,0.007542928,0.000290113
8.6959032,23,50,27,1,529,12167,279841,4.795831523,110.304125,2536.994876,0.043478261,0.001890359,8.21895E-05,3.57346E-06,0.208514414,0.009065844,0.000394167,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05,729,19683,531441,5.196152423,140.2961154,3787.995116,0.037037037,0.001371742,5.08053E-05,1.88168E-06,0.19245009,0.007127781,0.000263992
8.7759946,24,52,28,-1,576,13824,331776,4.898979486,117.5755077,2821.812184,0.041666667,0.001736111,7.2338E-05,3.01408E-06,0.204124145,0.008505173,0.000354382,2704,140608,7311616,7.211102551,374.9773326,19498.8213,0.019230769,0.000369822,7.11197E-06,1.36769E-07,0.138675049,0.002666828,5.12852E-05,784,21952,614656,5.291502622,148.1620734,4148.538056,0.035714286,0.00127551,4.55539E-05,1.62693E-06,0.188982237,0.006749366,0.000241049
8.7650247,25,55,30,1,625,15625,390625,5,125,3125,0.04,0.0016,0.000064,0.00000256,0.2,0.008,0.00032,3025,166375,9150625,7.416198487,407.8909168,22434.00042,0.018181818,0.000330579,6.01052E-06,1.09282E-07,0.134839972,0.002451636,4.45752E-05,900,27000,810000,5.477225575,164.3167673,4929.503018,0.033333333,0.001111111,3.7037E-05,1.23457E-06,0.182574186,0.006085806,0.00020286
8.7903563,26,56,30,0,676,17576,456976,5.099019514,132.5745074,3446.937191,0.038461538,0.00147929,5.68958E-05,2.1883E-06,0.196116135,0.007542928,0.000290113,3136,175616,9834496,7.483314774,419.0656273,23467.67513,0.017857143,0.000318878,5.69424E-06,1.01683E-07,0.133630621,0.002386261,4.26118E-05,900,27000,810000,5.477225575,164.3167673,4929.503018,0.033333333,0.001111111,3.7037E-05,1.23457E-06,0.182574186,0.006085806,0.00020286
8.7702829,26,57,31,1,676,17576,456976,5.099019514,132.5745074,3446.937191,0.038461538,0.00147929,5.68958E-05,2.1883E-06,0.196116135,0.007542928,0.000290113,3249,185193,10556001,7.549834435,430.3405628,24529.41208,0.01754386,0.000307787,5.39977E-06,9.47328E-08,0.132453236,0.002323741,4.07674E-05,961,29791,923521,5.567764363,172.6006952,5350.621553,0.032258065,0.001040583,3.35672E-05,1.08281E-06,0.179605302,0.005793719,0.000186894
8.7680379,27,59,32,0,729,19683,531441,5.196152423,140.2961154,3787.995116,0.037037037,0.001371742,5.08053E-05,1.88168E-06,0.19245009,0.007127781,0.000263992,3481,205379,12117361,7.681145748,453.1875991,26738.06835,0.016949153,0.000287274,4.86905E-06,8.25262E-08,0.130188911,0.002206592,3.73999E-05,1024,32768,1048576,5.656854249,181.019336,5792.618751,0.03125,0.000976563,3.05176E-05,9.53674E-07,0.176776695,0.005524272,0.000172633
8.7650281,28,61,33,0,784,21952,614656,5.291502622,148.1620734,4148.538056,0.035714286,0.00127551,4.55539E-05,1.62693E-06,0.188982237,0.006749366,0.000241049,3721,226981,13845841,7.810249676,476.4252302,29061.93904,0.016393443,0.000268745,4.40566E-06,7.22239E-08,0.12803688,0.002098965,3.44093E-05,1089,35937,1185921,5.744562647,189.5705673,6255.828722,0.03030303,0.000918274,2.78265E-05,8.43226E-07,0.174077656,0.00527508,0.000159851
8.7521404,29,63,34,0,841,24389,707281,5.385164807,156.1697794,4528.923603,0.034482759,0.001189061,4.10021E-05,1.41387E-06,0.185695338,0.006403288,0.000220803,3969,250047,15752961,7.937253933,500.0469978,31502.96086,0.015873016,0.000251953,3.99925E-06,6.34801E-08,0.125988158,0.001999812,3.1743E-05,1156,39304,1336336,5.830951895,198.2523644,6740.58039,0.029411765,0.000865052,2.54427E-05,7.48315E-07,0.171498585,0.005044076,0.000148355
8.7570967,29,65,36,0,841,24389,707281,5.385164807,156.1697794,4528.923603,0.034482759,0.001189061,4.10021E-05,1.41387E-06,0.185695338,0.006403288,0.000220803,4225,274625,17850625,8.062257748,524.0467536,34063.03899,0.015384615,0.000236686,3.64133E-06,5.60204E-08,0.124034735,0.001908227,2.93573E-05,1296,46656,1679616,6,216,7776,0.027777778,0.000771605,2.14335E-05,5.95374E-07,0.166666667,0.00462963,0.000128601
8.7596335,30,66,36,0,900,27000,810000,5.477225575,164.3167673,4929.503018,0.033333333,0.001111111,3.7037E-05,1.23457E-06,0.182574186,0.006085806,0.00020286,4356,287496,18974736,8.124038405,536.1865347,35388.31129,0.015151515,0.000229568,3.47831E-06,5.27017E-08,0.123091491,0.001865023,2.82579E-05,1296,46656,1679616,6,216,7776,0.027777778,0.000771605,2.14335E-05,5.95374E-07,0.166666667,0.00462963,0.000128601
8.7245798,31,69,38,1,961,29791,923521,5.567764363,172.6006952,5350.621553,0.032258065,0.001040583,3.35672E-05,1.08281E-06,0.179605302,0.005793719,0.000186894,4761,328509,22667121,8.306623863,573.1570465,39547.83621,0.014492754,0.00021004,3.04406E-06,4.41168E-08,0.120385853,0.001744723,2.52858E-05,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342
8.7217028,32,70,38,0,1024,32768,1048576,5.656854249,181.019336,5792.618751,0.03125,0.000976563,3.05176E-05,9.53674E-07,0.176776695,0.005524272,0.000172633,4900,343000,24010000,8.366600265,585.6620186,40996.3413,0.014285714,0.000204082,2.91545E-06,4.16493E-08,0.119522861,0.001707469,2.43924E-05,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342
8.7008748,33,75,42,1,1089,35937,1185921,5.744562647,189.5705673,6255.828722,0.03030303,0.000918274,2.78265E-05,8.43226E-07,0.174077656,0.00527508,0.000159851,5625,421875,31640625,8.660254038,649.5190528,48713.92896,0.013333333,0.000177778,2.37037E-06,3.16049E-08,0.115470054,0.001539601,2.0528E-05,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05
8.7114781,34,76,42,0,1156,39304,1336336,5.830951895,198.2523644,6740.58039,0.029411765,0.000865052,2.54427E-05,7.48315E-07,0.171498585,0.005044076,0.000148355,5776,438976,33362176,8.717797887,662.5526394,50354.0006,0.013157895,0.00017313,2.27803E-06,2.99741E-08,0.114707867,0.001509314,1.98594E-05,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05
8.6875956,35,79,44,1,1225,42875,1500625,5.916079783,207.0627924,7247.197734,0.028571429,0.000816327,2.33236E-05,6.66389E-07,0.169030851,0.004829453,0.000137984,6241,493039,38950081,8.888194417,702.167359,55471.22136,0.012658228,0.000160231,2.02824E-06,2.56739E-08,0.11250879,0.001424162,1.80274E-05,1936,85184,3748096,6.633249581,291.8629816,12841.97119,0.022727273,0.000516529,1.17393E-05,2.66802E-07,0.150755672,0.003426265,7.78697E-05
8.6929301,36,80,44,0,1296,46656,1679616,6,216,7776,0.027777778,0.000771605,2.14335E-05,5.95374E-07,0.166666667,0.00462963,0.000128601,6400,512000,40960000,8.94427191,715.5417528,57243.34022,0.0125,0.00015625,1.95313E-06,2.44141E-08,0.111803399,0.001397542,1.74693E-05,1936,85184,3748096,6.633249581,291.8629816,12841.97119,0.022727273,0.000516529,1.17393E-05,2.66802E-07,0.150755672,0.003426265,7.78697E-05
8.6974416,37,85,48,1,1369,50653,1874161,6.08276253,225.0622136,8327.301904,0.027027027,0.00073046,1.97422E-05,5.33572E-07,0.164398987,0.004443216,0.000120087,7225,614125,52200625,9.219544457,783.6612789,66611.2087,0.011764706,0.000138408,1.62833E-06,1.91569E-08,0.108465229,0.001276062,1.50125E-05,2304,110592,5308416,6.92820323,332.5537551,15962.58024,0.020833333,0.000434028,9.04225E-06,1.8838E-07,0.144337567,0.003007033,6.26465E-05
8.6775132,38,84,46,0,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7056,592704,49787136,9.16515139,769.8727168,64669.30821,0.011904762,0.000141723,1.68718E-06,2.00855E-08,0.109108945,0.001298916,1.54633E-05,2116,97336,4477456,6.782329983,311.9871792,14351.41024,0.02173913,0.00047259,1.02737E-05,2.23341E-07,0.147441956,0.00320526,6.96796E-05
8.7084566,38,86,48,1,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7396,636056,54700816,9.273618495,797.5311906,68587.68239,0.011627907,0.000135208,1.57219E-06,1.82813E-08,0.107832773,0.001253869,1.45799E-05,2304,110592,5308416,6.92820323,332.5537551,15962.58024,0.020833333,0.000434028,9.04225E-06,1.8838E-07,0.144337567,0.003007033,6.26465E-05
8.7325958,38,88,50,1,1444,54872,2085136,6.164414003,234.2477321,8901.41382,0.026315789,0.000692521,1.82242E-05,4.79585E-07,0.162221421,0.004268985,0.000112342,7744,681472,59969536,9.38083152,825.5131737,72645.15929,0.011363636,0.000129132,1.46741E-06,1.66751E-08,0.106600358,0.001211368,1.37655E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.714011,39,89,50,1,1521,59319,2313441,6.244997998,243.5549219,9498.641956,0.025641026,0.000657462,1.6858E-05,4.32257E-07,0.160128154,0.00410585,0.000105278,7921,704969,62742241,9.433981132,839.6243208,74726.56455,0.011235955,0.000126247,1.4185E-06,1.59382E-08,0.105999788,0.001191009,1.33821E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.7099699,40,90,50,0,1600,64000,2560000,6.32455532,252.9822128,10119.28851,0.025,0.000625,0.000015625,3.90625E-07,0.158113883,0.003952847,9.88212E-05,8100,729000,65610000,9.486832981,853.8149682,76843.34714,0.011111111,0.000123457,1.37174E-06,1.52416E-08,0.105409255,0.001171214,1.30135E-05,2500,125000,6250000,7.071067812,353.5533906,17677.66953,0.02,0.0004,0.000008,0.00000016,0.141421356,0.002828427,5.65685E-05
8.6641849,41,93,52,1,1681,68921,2825761,6.403124237,262.5280937,10763.65184,0.024390244,0.000594884,1.45094E-05,3.53887E-07,0.156173762,0.003809116,9.29053E-05,8649,804357,74805201,9.643650761,896.8595208,83407.93543,0.010752688,0.00011562,1.24323E-06,1.33681E-08,0.103695169,0.001115002,1.19893E-05,2704,140608,7311616,7.211102551,374.9773326,19498.8213,0.019230769,0.000369822,7.11197E-06,1.36769E-07,0.138675049,0.002666828,5.12852E-05
8.6623341,42,94,52,0,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05,8836,830584,78074896,9.695359715,911.3638132,85668.19844,0.010638298,0.000113173,1.20397E-06,1.28082E-08,0.103142125,0.001097257,1.16729E-05,2704,140608,7311616,7.211102551,374.9773326,19498.8213,0.019230769,0.000369822,7.11197E-06,1.36769E-07,0.138675049,0.002666828,5.12852E-05
8.6487212,42,95,53,1,1764,74088,3111696,6.480740698,272.1911093,11432.02659,0.023809524,0.000566893,1.34975E-05,3.21368E-07,0.15430335,0.003673889,8.74736E-05,9025,857375,81450625,9.746794345,925.9454628,87964.81896,0.010526316,0.000110803,1.16635E-06,1.22774E-08,0.102597835,0.001079977,1.13682E-05,2809,148877,7890481,7.280109889,385.8458241,20449.82868,0.018867925,0.000355999,6.71695E-06,1.26735E-07,0.137360564,0.002591709,4.89002E-05
8.6193593,44,100,56,0,1936,85184,3748096,6.633249581,291.8629816,12841.97119,0.022727273,0.000516529,1.17393E-05,2.66802E-07,0.150755672,0.003426265,7.78697E-05,10000,1000000,100000000,10,1000,100000,0.01,0.0001,0.000001,0.00000001,0.1,0.001,1E-05,3136,175616,9834496,7.483314774,419.0656273,23467.67513,0.017857143,0.000318878,5.69424E-06,1.01683E-07,0.133630621,0.002386261,4.26118E-05
